
Active Connections

  Proto  Local Address          Foreign Address        State           Offload State

  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:3305           0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:3306           0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:7790           0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:8008           0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:9264           0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:11300          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:17500          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:30175          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:47984          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:47989          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:49152          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:49153          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:49154          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:49155          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:49156          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:49183          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:49184          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:49232          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:54999          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:56280          0.0.0.0:0              LISTENING       InHost      
  TCP    0.0.0.0:57621          0.0.0.0:0              LISTENING       InHost      
  TCP    10.0.1.116:139         0.0.0.0:0              LISTENING       InHost      
  TCP    10.0.1.116:5556        0.0.0.0:0              LISTENING       InHost      
  TCP    10.0.1.116:49329       54.230.247.29:443      CLOSE_WAIT      InHost      
  TCP    10.0.1.116:49578       23.21.130.154:6861     ESTABLISHED     InHost      
  TCP    10.0.1.116:49580       23.23.241.76:6861      ESTABLISHED     InHost      
  TCP    10.0.1.116:49890       103.10.125.16:27017    ESTABLISHED     InHost      
  TCP    10.0.1.116:49899       64.233.187.125:5222    ESTABLISHED     InHost      
  TCP    10.0.1.116:51224       54.230.247.116:443     CLOSE_WAIT      InHost      
  TCP    10.0.1.116:51407       107.20.241.212:443     CLOSE_WAIT      InHost      
  TCP    10.0.1.116:51978       179.60.193.3:443       ESTABLISHED     InHost      
  TCP    10.0.1.116:55259       108.160.163.100:443    ESTABLISHED     InHost      
  TCP    10.0.1.116:55872       216.58.220.138:443     CLOSE_WAIT      InHost      
  TCP    10.0.1.116:55873       216.58.220.141:443     CLOSE_WAIT      InHost      
  TCP    10.0.1.116:55889       108.160.172.225:443    CLOSE_WAIT      InHost      
  TCP    10.0.1.116:56044       54.230.247.29:443      CLOSE_WAIT      InHost      
  TCP    10.0.1.116:57000       108.160.172.193:443    ESTABLISHED     InHost      
  TCP    10.0.1.116:57393       54.230.247.116:443     CLOSE_WAIT      InHost      
  TCP    10.0.1.116:57831       107.20.249.198:443     CLOSE_WAIT      InHost      
  TCP    10.0.1.116:58487       54.83.199.34:443       CLOSE_WAIT      InHost      
  TCP    10.0.1.116:58496       216.58.220.142:443     TIME_WAIT       InHost      
  TCP    10.0.1.116:58515       54.231.80.106:80       CLOSE_WAIT      InHost      
  TCP    10.0.1.116:58518       54.241.150.231:443     CLOSE_WAIT      InHost      
  TCP    10.0.1.116:58596       216.58.220.106:443     ESTABLISHED     InHost      
  TCP    10.0.1.116:58631       216.58.220.142:443     ESTABLISHED     InHost      
  TCP    10.0.1.116:58639       64.233.187.141:443     ESTABLISHED     InHost      
  TCP    10.0.1.116:59540       194.68.29.50:4070      ESTABLISHED     InHost      
  TCP    10.0.1.116:60745       54.83.63.236:443       CLOSE_WAIT      InHost      
  TCP    10.0.1.116:61483       111.221.29.120:443     ESTABLISHED     InHost      
  TCP    10.0.1.116:61489       54.243.130.173:443     CLOSE_WAIT      InHost      
  TCP    10.0.1.116:61673       54.230.244.177:443     CLOSE_WAIT      InHost      
  TCP    10.0.1.116:61771       64.233.188.188:5228    ESTABLISHED     InHost      
  TCP    10.0.1.116:61993       54.230.247.29:443      CLOSE_WAIT      InHost      
  TCP    10.0.1.116:65023       54.175.240.62:443      ESTABLISHED     InHost      
  TCP    10.0.1.116:65078       52.3.161.207:443       ESTABLISHED     InHost      
  TCP    127.0.0.1:4370         0.0.0.0:0              LISTENING       InHost      
